Handle,Title,Vendor,Type,Tags,Body HTML,SEO Title,SEO Description,Variant Price,Variant Compare At Price,Status,Metafield: custom.badge_label [string],Metafield: custom.short_caption [string]
tap-cleaner-limescale-remover,Tap Cleaner & Limescale Remover,Purelane,Home Cleaning,"bathroom, kitchen, limescale, plant-based, tap-cleaner","<p>Purelane's plant-based tap cleaner dissolves hard water stains and limescale in seconds. Two sprays and wipe — no scrubbing needed. Safe around kids, pets, and food-prep surfaces. 500ml spray bottle.</p><ul><li>Melts limescale and hard water deposits</li><li>Plant-derived formula, zero harsh chemicals</li><li>Safe for chrome, stainless steel, and ceramic</li><li>500ml — lasts up to 3 months</li></ul>",Purelane Tap Cleaner & Limescale Remover — 500ml Plant-Based Spray,Dissolve hard water stains and limescale instantly. Plant-based non-toxic tap cleaner safe for kids and pets. Free shipping on bundles across India.,200.00,299.00,active,Best seller,Melts hard water stains
kitchen-cleaner-foaming,Kitchen Cleaner Foaming,Purelane,Home Cleaning,"degreaser, foaming, kitchen, non-toxic, plant-based","<p>A foaming plant-based kitchen cleaner that clings to grease and lifts it on contact. Wipe instead of scrub. Leaves no toxic residue on the surfaces you cook on every day. 500ml spray bottle.</p><ul><li>Foam formula clings to grease and cuts through instantly</li><li>No sulphates, chlorine, or synthetic fragrance</li><li>Safe on countertops, hobs, tiles, and appliances</li><li>500ml — lasts up to 3 months</li></ul>",Purelane Foaming Kitchen Cleaner — 500ml Plant-Based Spray,Plant-based foaming kitchen cleaner that cuts grease without scrubbing. No harsh chemicals. Safe for food-prep surfaces. Free shipping on bundles across India.,200.00,299.00,active,Best seller,Foam lifts grease no scrubbing
laundry-detergent,Laundry Detergent,Purelane,Laundry,"detergent, laundry, non-toxic, plant-based, sensitive-skin","<p>Purelane's plant-based laundry detergent removes tough stains and odours while being gentle on fabric and skin. No SLS, no parabens, no synthetic fragrance. Works in both top-load and front-load machines.</p><ul><li>Removes tough stains and odours effectively</li><li>Gentle on sensitive skin and fabric</li><li>Works in all machine types and cold water</li><li>Plant-derived, biodegradable formula</li></ul>",Purelane Natural Laundry Detergent — Plant-Based Non-Toxic,Plant-based laundry detergent that removes tough stains and odours. Gentle on skin and fabric. No SLS or parabens. Free shipping on bundles across India.,200.00,299.00,active,Best seller,Tough on odour soft on fabric
toilet-cleaner,Toilet Cleaner,Purelane,Home Cleaning,"antibacterial, bathroom, non-toxic, plant-based, toilet","<p>A non-toxic toilet cleaner that kills 99.9% of germs and dissolves limescale in the bowl — without chlorine or bleach. Neem-powered, safe around kids and pets, and leaves no harsh chemical residue.</p><ul><li>Kills 99.9% of germs and bacteria</li><li>Dissolves limescale and hard water stains</li><li>No bleach, chlorine, or synthetic fragrance</li><li>Neem-powered antibacterial formula</li></ul>",Purelane Non-Toxic Toilet Cleaner — Kills 99.9% Germs Plant-Based,Non-toxic toilet cleaner that kills 99.9% of germs without bleach or chlorine. Neem-powered safe for kids and pets. Free shipping on bundles across India.,200.00,299.00,active,Best seller,Kills 99.9% of germs
floor-cleaner,Floor Cleaner,Purelane,Home Cleaning,"antibacterial, floor-cleaner, neem, pet-safe, plant-based","<p>Purelane's herbal floor cleaner is powered by neem — a time-tested natural antibacterial. Kills 99.9% of germs, leaves a fresh lemongrass scent, and is completely safe for homes with kids and pets.</p><ul><li>Neem-powered, kills 99.9% of germs</li><li>Pet safe — no toxic residue after drying</li><li>Fresh lemongrass fragrance, nothing synthetic</li><li>Works on marble, tile, wood, and vinyl</li></ul>",Purelane Natural Herbal Floor Cleaner — Neem Powered Pet Safe,Neem-powered herbal floor cleaner that kills 99.9% of germs. Pet safe no toxic residue. Fresh lemongrass scent. Free shipping on bundles across India.,200.00,299.00,active,Best seller,Neem powered pet safe
dishwash-gel,Dishwash Gel,Purelane,Kitchen,"dishwash, kitchen, non-toxic, plant-based, sensitive-skin","<p>An organic dishwash gel that cuts through grease on the first pass while being genuinely kind to hands. No SLS, no parabens. Safe for daily use even for those with sensitive or dry skin.</p><ul><li>Cuts grease effectively on the first pass</li><li>Kind to hands — no dryness or cracking</li><li>No SLS, sulphates, or synthetic fragrance</li><li>Coconut and orange peel derived cleansers</li></ul>",Purelane Organic Dishwash Gel — Cuts Grease Kind to Hands,Organic dishwash gel that cuts grease and is gentle on hands. No SLS or sulphates. Coconut and orange peel formula. Free shipping on bundles across India.,200.00,299.00,active,Best seller,Cuts grease kind to hands
liquid-handwash,Liquid Handwash,Purelane,Personal Care,"handwash, kids-safe, non-toxic, plant-based, sensitive-skin","<p>A gentle hydrating liquid handwash made from plant-derived cleansers and essential oils. Cleans thoroughly without stripping natural moisture. Safe for frequent use by the whole family including kids.</p><ul><li>Gentle hydration — no dry or tight feeling after washing</li><li>Plant-derived, no SLS or parabens</li><li>Safe for kids and sensitive skin</li><li>Fresh lemongrass fragrance, nothing synthetic</li></ul>",Purelane Gentle Hydrating Liquid Handwash — Plant-Based Non-Toxic,Gentle plant-based liquid handwash that cleans without drying. Safe for kids and sensitive skin. No SLS or parabens. Free shipping on bundles across India.,200.00,299.00,active,Best seller,Gentle hydration for hands
washing-machine-cleaner-descaler,Washing Machine Cleaner & Descaler,Purelane,Laundry,"descaler, laundry, plant-based, tablets, washing-machine","<p>Deep-clean your washing machine and remove limescale buildup with Purelane's plant-based descaler tablets. One tablet per cycle keeps your machine running efficiently and your laundry smelling fresher for longer. 8 tablets per pack.</p><ul><li>Removes limescale, detergent residue, and odour-causing bacteria</li><li>Extends machine life and improves wash efficiency</li><li>Plant-based, no harsh chemicals</li><li>8 tablets — 8 monthly treatments per pack</li></ul>",Purelane Washing Machine Cleaner & Descaler — 8 Plant-Based Tablets,Plant-based washing machine cleaner and descaler tablets. Removes limescale and odours extends machine life. 8 tablets per pack. Free shipping on bundles.,200.00,299.00,active,New,Deep-cleans your machine
purelane-plant-based-natural-copper-bronze-brass-deep-cleaning-polish-and-restorer-pump-bottle-300ml,Copper Bronze & Brass Cleaner,Purelane,Home Cleaning,"brass, copper, metal-cleaner, non-toxic, plant-based","<p>Purelane's plant-based copper, bronze and brass cleaner restores shine and removes tarnish without harsh acids or abrasives. Safe on all metal surfaces, gentle on hands. 300ml pump bottle.</p><ul><li>Removes tarnish and oxidation from copper, brass and bronze</li><li>No harsh acids or abrasive chemicals</li><li>Plant-derived formula, safe for regular use</li><li>300ml pump bottle</li></ul>",Purelane Copper Bronze & Brass Cleaner — 300ml Plant-Based Polish,Plant-based copper bronze and brass cleaner that removes tarnish without harsh acids. Safe on all metals. Free shipping on bundles across India.,200.00,299.00,active,Top rated,Restores shine removes tarnish
magic-eraser,Magic Eraser,Purelane,Home Cleaning,"bathroom, cleaning, magic-eraser, non-toxic, plant-based","<p>Purelane's magic eraser scrubs away soap scum, hard water marks and stubborn stains from bathroom surfaces without scratching. No chemicals needed — just water and a wipe.</p><ul><li>Removes soap scum and hard water marks effortlessly</li><li>No cleaning chemicals required</li><li>Safe on tiles, glass, chrome and acrylic</li><li>Reusable and long-lasting</li></ul>",Purelane Magic Eraser — Scrubs Soap Scum & Hard Water Stains,Magic eraser that removes soap scum and hard water stains without chemicals. Safe on tiles glass and chrome. Free shipping on bundles across India.,200.00,299.00,active,Best seller,Scrubs away soap scum
